,App Name,Category,Sub Category,Rating,Reviews,Installs,Price,Content Rating,Last Updated
46,King of Crabs,GAME,ACTION,3.280254841,785.0,"500,000+",0,Everyone 10+,7-Mar-19
47,Match 3 App Rewards: Daily Game Rewards,GAME,CASUAL,4.520161152,248.0,"10,000+",0,Everyone,20-Feb-19
48,Brown Dust,GAME,ROLE_PLAYING,4.476287842,70260.0,"1,000,000+",0,Teen,1-Apr-19
49,Poly - Coloring Puzzle Art Book,GAME,PUZZLE,4.580865383,878.0,"10,000+",0,Everyone,28-Mar-19
50,Legend of Empress,GAME,ROLE_PLAYING,3.819999933,750.0,"50,000+",0,Teen,30-Mar-19
51,Manor Diary,GAME,CASUAL,4.550986767,1824.0,"50,000+",0,Everyone,1-Apr-19
52,Driving Academy 2: Car Games & Driving School 2019,GAME,RACING,4.259150982,1366.0,"100,000+",0,Everyone,22-Feb-19
53,Hello Tamago,GAME,CASUAL,4.321818352,1100.0,"10,000+",0,Teen,1-Apr-19
54,Typoman Mobile,GAME,ADVENTURE,3.836396217,3918.0,"100,000+",0,Everyone 10+,28-Mar-19
55,The Royal Affairs,GAME,ROLE_PLAYING,4.140642643,2645.0,"100,000+",0,Teen,25-Mar-19
56,Tricky Taps,GAME,ARCADE,4.015625,256.0,"50,000+",0,Everyone,25-Mar-19
57,Pot Shot,GAME,CASUAL,4.441585064,4896.0,"100,000+",0,Everyone,9-Mar-19
58,?? Super Boy Adventure&Jungle Adventure,GAME,CASUAL,4.524364948,1457.0,"100,000+",0,Teen,9-Mar-19
59,Tower Color,GAME,ARCADE,3.440150738,2122.0,"1,000,000+",0,Everyone,27-Mar-19
61,Criminal Case: The Conspiracy,GAME,ADVENTURE,4.691674709,13369.0,"1,000,000+",0,Teen,5-Feb-19
62,1010! Color,GAME,PUZZLE,3.940463066,907.0,"500,000+",0,Everyone,27-Mar-19
63,FRAG Pro Shooter,GAME,ACTION,4.510839939,76662.0,"5,000,000+",0,Teen,21-Mar-19
64,Jewel Maker,GAME,PUZZLE,4.52055788,1362.0,"50,000+",0,Everyone,1-Apr-19
65,Ski Tycoon,GAME,SPORTS,4.568738461,531.0,"50,000+",0,Everyone,28-Mar-19
66,ELCHRONICLE,GAME,ROLE_PLAYING,4.41965723,6186.0,"100,000+",0,Everyone 10+,28-Mar-19
67,Overkill the Dead: Survival,GAME,ARCADE,4.370070934,5199.0,"500,000+",0,Mature 17+,29-Mar-19
68,JAWS.io,GAME,CASUAL,4.255244732,1430.0,"100,000+",0,Mature 17+,21-Mar-19
69,1945 Air Forces,GAME,ARCADE,4.559189796,5778.0,"1,000,000+",0,Everyone,3-Apr-19
70,Ganster Tycoon,GAME,SIMULATION,4.612341881,632.0,"50,000+",0,Teen,1-Apr-19
71,Pet Rescue Puzzle Saga,GAME,CASUAL,4.556770325,42892.0,"1,000,000+",0,Everyone,13-Mar-19
72,Drag n Merge: Block Puzzle,GAME,PUZZLE,4.386383057,10575.0,"1,000,000+",0,Everyone,26-Mar-19
73,LYN: The Lightbringer,GAME,ROLE_PLAYING,4.216443539,33205.0,"500,000+",0,Teen,2-Apr-19
74,Jump Tower Ball�Zero,GAME,CASUAL,3.159509182,163.0,"10,000+",0,Everyone,28-Mar-19
75,AxE: Alliance vs Empire,GAME,ROLE_PLAYING,4.287025928,66123.0,"1,000,000+",0,Teen,22-Mar-19
76,Super Brawl Universe,GAME,ACTION,3.789777994,6398.0,"500,000+",0,Everyone 10+,25-Mar-19
77,Dodgeball Duel,GAME,ARCADE,4.097883701,378.0,"50,000+",0,Teen,28-Feb-19
78,Last Human Life on Earth,GAME,ROLE_PLAYING,4.187171936,1715.0,"100,000+",0,Mature 17+,12-Mar-19
79,Candy Blast,GAME,CASUAL,4.967391491,644.0,"10,000+",0,Everyone,26-Mar-19
80,Bud Farm Idle - Kush Farm Growing Weed Tycoon,GAME,SIMULATION,4.734383583,1841.0,"50,000+",0,Mature 17+,27-Mar-19
81,Cartoon Network Arcade,GAME,ARCADE,4.332247734,307.0,"50,000+",0,Everyone,2-Apr-19
82,Crowd City,GAME,ARCADE,4.438068867,60995.0,"5,000,000+",0,Everyone,21-Mar-19
83,Mountain Sniper 3D Shooter,GAME,ACTION,4.065671444,670.0,"100,000+",0,Teen,29-Mar-19
84,Snow Drift,GAME,SIMULATION,4.689541817,29479.0,"1,000,000+",0,Teen,23-Mar-19
85,Roller Paint - Splat Puzzle,GAME,PUZZLE,3.421367407,1170.0,"100,000+",0,Everyone,1-Apr-19
86,Dodgeball.io,GAME,SPORTS,4.067484856,326.0,"50,000+",0,Everyone,26-Mar-19
87,Pick Me Up�,GAME,ARCADE,3.956089497,10863.0,"1,000,000+",0,Everyone,29-Mar-19
88,Go Slice,GAME,PUZZLE,4.602141857,1214.0,"100,000+",0,Everyone,12-Mar-19
89,Football Field Kick,GAME,ACTION,4.5,564.0,"50,000+",0,Everyone,29-Mar-19
90,Pop Color   Coloring Pages,GAME,CASUAL,4.840240479,1496.0,"100,000+",0,Everyone,1-Apr-19
91,Aurora Legend,GAME,ROLE_PLAYING,4.329887867,1161.0,"50,000+",0,Teen,27-Mar-19
92,RAID: Shadow Legends,GAME,ROLE_PLAYING,4.639909267,61740.0,"1,000,000+",0,Teen,21-Mar-19
93,My Little Pony Pocket Ponies,GAME,CASUAL,4.202301502,2694.0,"1,000,000+",0,Everyone,13-Mar-19
94,Decurse � A New Magic Farming Game,GAME,CASUAL,4.537362576,6999.0,"500,000+",0,Everyone,11-Mar-19
95,Rolly Running,GAME,MUSIC,4.076922894,13.0,"10,000+",0,Everyone,20-Mar-19
96,Alita: Battle Angel - The Game,GAME,ROLE_PLAYING,4.067240238,10232.0,"500,000+",0,Teen,4-Mar-19
97,Hidden Hotel,GAME,ADVENTURE,4.398123741,36348.0,"1,000,000+",0,Everyone,29-Mar-19
98,Skylanders� Ring of Heroes,GAME,ROLE_PLAYING,4.410758018,19279.0,"1,000,000+",0,Everyone 10+,28-Mar-19
99,Wonder Park Magic Rides,GAME,SIMULATION,4.125853539,3075.0,"100,000+",0,Everyone,26-Mar-19
100,Swing Legend,GAME,ARCADE,1.833333373,24.0,"10,000+",0,Everyone,27-Feb-19
101,Difference Find Master,GAME,CASUAL,4.176470757,17.0,"10,000+",0,Everyone,18-Mar-19
102,Archer Fighter: Stickman Fight,GAME,ACTION,4.301369667,438.0,"100,000+",0,Teen,20-Feb-19
103,Linn: Path of Orchards,GAME,ACTION,3.826388836,144.0,"10,000+",0,Everyone,20-Mar-19
185,Toddler Learning Games - Little Kids Games,GAME,EDUCATIONAL,4.159613132,827.0,"500,000+",0,Everyone,10-Mar-19
188,ABC Kids - Tracing & Phonics,GAME,EDUCATIONAL,4.493010998,42281.0,"10,000,000+",0,Everyone,30-Nov-18
190,Boogie Bot - Learn to code.,GAME,EDUCATIONAL,3.829268217,82.0,"10,000+",0,Everyone,10-Dec-16
191,Toddlers Magic Flute,GAME,MUSIC,3.666666746,36.0,"10,000+",0,Everyone,7-Jan-19
192,Learn ABC Letters with Captain Cat,GAME,EDUCATIONAL,4.113303185,13989.0,"1,000,000+",0,Everyone,17-Sep-18
193,Toddler games for 2-5 year olds,GAME,EDUCATIONAL,4.52663517,9893.0,"1,000,000+",0,Everyone,13-Dec-18
194,Learn ABC Letters with Captain Cat,GAME,EDUCATIONAL,4.42797184,1430.0,"100,000+",$2.99 ,Everyone,17-Sep-18
195,Kids Educational Game 3 Free,GAME,EDUCATIONAL,4.280282497,27169.0,"5,000,000+",0,Everyone,16-May-18
198,Bini Super ABC! Preschool Learning Games for Kids!,GAME,EDUCATIONAL,4.577144146,35667.0,"5,000,000+",0,Everyone,24-Jan-19
199,Kids Garden,GAME,EDUCATIONAL,4.149282932,9204.0,"1,000,000+",0,Everyone,21-Jan-19
200,ABCD for kids - ABC Learning games for toddlers ??,GAME,EDUCATIONAL,4.324232101,19594.0,"5,000,000+",0,Everyone,4-Mar-19
201,Read with Phonzy: Reading Game,GAME,EDUCATIONAL,2.954128504,109.0,"100,000+",0,Everyone,4-Mar-19
203,123 Kids Fun MUSIC - Kids Music Educational Games,GAME,MUSIC,4.083333492,36.0,"1,000+",$1.99 ,Everyone,22-Jun-18
204,Learn letters English alphabet,GAME,EDUCATIONAL,4.23582077,335.0,"100,000+",0,Everyone,12-Jun-18
205,Nancy Drew Codes and Clues,GAME,EDUCATIONAL,4.067415714,178.0,"10,000+",0,Everyone,13-Jan-17
207,Learning colors for toddlers,GAME,CASUAL,4.119999886,2375.0,"1,000,000+",0,Everyone,19-Jun-18
208,codeSpark Academy: Kids Coding,GAME,EDUCATIONAL,4.079394817,4824.0,"500,000+",0,Everyone,18-Mar-19
209,"Kids ABC Letter, Colour & Song",GAME,EDUCATIONAL,3.971428633,105.0,"10,000+",0,Everyone,29-Jun-16
210,Learn to Read with Tommy Turtle,GAME,EDUCATIONAL,4.234666824,1125.0,"100,000+",$2.99 ,Everyone,17-Sep-18
211,Phonics - Sounds to Words for beginning readers,GAME,EDUCATIONAL,3.952380896,189.0,"100,000+",0,Everyone,10-Oct-18
213,Baby Zoo Piano with Music for Toddlers and Kids,GAME,EDUCATIONAL,4.041327,7356.0,"1,000,000+",0,Everyone,11-Dec-18
214,Read and Count,GAME,EDUCATIONAL,4.528527737,9780.0,"1,000,000+",0,Everyone,19-Feb-19
215,Draw Your Game,GAME,ADVENTURE,4.058478355,134169.0,"10,000,000+",0,Everyone,27-Nov-18
216,"Cute Nursery Rhymes, Poems & Songs For Kids Free",GAME,MUSIC,4.101036072,1544.0,"100,000+",0,Everyone,5-Dec-16
219,Robotizen: Kid learn Coding Robot 5+,GAME,EDUCATIONAL,4.373571396,1400.0,"10,000+",0,Everyone,16-Aug-18
220,LetterSchool - Block Letters,GAME,EDUCATIONAL,4.181091785,751.0,"10,000+",$6.99 ,Everyone,18-Jan-19
221,FunnyFood Kindergarten learning games for toddlers,GAME,EDUCATIONAL,4.437857151,18031.0,"1,000,000+",0,Everyone,1-Apr-19
222,Mother Goose Club: Nursery Rhymes & Learning Games,GAME,EDUCATIONAL,3.992105246,380.0,"100,000+",0,Everyone,24-Jan-19
223,My Baby Unicorn - Virtual Pony Pet Care & Dress Up,GAME,EDUCATIONAL,4.084745884,3953.0,"1,000,000+",0,Everyone 10+,29-Mar-19
224,Piano for Kids,GAME,MUSIC,3.727810621,169.0,"50,000+",0,Everyone,23-Nov-16
225,Kids Fun Animal Piano Free,GAME,MUSIC,3.928886414,1814.0,"500,000+",0,Everyone,23-Aug-18
227,Tynker for Schools,GAME,EDUCATIONAL,4,33.0,"1,000+",$4.99 ,Everyone,3-Aug-18
229,Kids Shapes & Colors Preschool,GAME,EDUCATIONAL,4.108124256,1674.0,"100,000+",0,Everyone,29-Dec-16
230,Toddler Sing and Play 2 Pro,GAME,MUSIC,4.065040588,246.0,"10,000+",$1.99 ,Everyone,18-Nov-18
231,Preschool ABC Numbers Letters,GAME,EDUCATIONAL,3.976635456,214.0,"50,000+",0,Everyone,20-Sep-16
232,Toddler Sing and Play 3,GAME,MUSIC,3.924157381,356.0,"100,000+",0,Everyone,20-Nov-18
233,Shapes and Colors � Kids games for toddlers,GAME,EDUCATIONAL,4.495965004,8922.0,"1,000,000+",0,Everyone,12-Dec-18
234,Preschool Adventures-2,GAME,EDUCATIONAL,4.175517559,2222.0,"1,000,000+",0,Everyone,21-Jan-19
235,Animal Jigsaw Puzzle Toddlers,GAME,PUZZLE,3.989382982,1507.0,"500,000+",0,Everyone,22-Dec-18
237,Learn to Read with Tommy Turtle,GAME,EDUCATIONAL,4.013431072,20996.0,"5,000,000+",0,Everyone,26-Dec-18
239,Colors & Shapes - Fun Learning Games for Kids,GAME,EDUCATIONAL,4.241084099,701.0,"100,000+",0,Everyone,27-Mar-19
240,Run Marco!,GAME,EDUCATIONAL,4.241829872,459.0,"50,000+",0,Everyone,20-Jun-16
241,Learn Letter Sounds with Carnival Kids,GAME,EDUCATIONAL,4.356136799,994.0,"50,000+",$2.99 ,Everyone,17-Sep-18
242,World of Peppa Pig,GAME,EDUCATIONAL,3.980335236,3102.0,"1,000,000+",0,Everyone,25-Mar-19
243,PBS KIDS Games,GAME,EDUCATIONAL,4.270162106,15524.0,"1,000,000+",0,Everyone,14-Feb-19
244,Tiffany Alvord Dream World,GAME,MUSIC,4.369268894,59672.0,"1,000,000+",0,Everyone,21-Jan-15
245,Kids Reading Sight Words,GAME,EDUCATIONAL,4.172932148,399.0,"10,000+",$2.99 ,Everyone,17-Sep-18
249,Learning Letters for Toddlers - Baby ABC for Kids,GAME,EDUCATIONAL,3.738647461,6122.0,"1,000,000+",0,Everyone,12-Mar-15
250,Kids Education (Preschool),GAME,EDUCATIONAL,4.235115528,3292.0,"1,000,000+",0,Everyone,2-Apr-19
253,Animal Hair Salon Australia - Pet Beauty & Fashion,GAME,EDUCATIONAL,4.397143841,7773.0,"1,000,000+",0,Everyone,17-Jan-19
257,Kids Doodle - Color & Draw,GAME,CASUAL,4.122294903,418481.0,"50,000,000+",0,Everyone,17-Dec-16
296,Draw and Guess Online,GAME,WORD,4.688154697,155574.0,"1,000,000+",0,Teen,20-Jan-17
311,Office Story,GAME,SIMULATION,4.073109627,56217.0,"1,000,000+",0,Everyone,12-Feb-18
312,Monster Trucks Game for Kids 2,GAME,EDUCATIONAL,4.343037605,34212.0,"10,000,000+",0,Everyone,25-Feb-19
313,Troll Face Quest: Video Memes - Brain Game,GAME,PUZZLE,4.540003777,451556.0,"10,000,000+",0,Teen,13-Feb-19
314,Hydrocarbons: Chemical Structures & Formulas Quiz,GAME,EDUCATIONAL,4.39825964,1494.0,"100,000+",0,Everyone,25-Sep-17
315,Sudoku,GAME,PUZZLE,4.457895279,557883.0,"10,000,000+",0,Everyone,2-Nov-18
316,Coloring & Learn,GAME,EDUCATIONAL,4.435975552,20703.0,"10,000,000+",0,Everyone,2-Apr-19
317,Jigty Jigsaw Puzzles,GAME,PUZZLE,4.299723148,712444.0,"10,000,000+",0,Everyone,18-May-18
318,Angry Birds Epic RPG,GAME,ROLE_PLAYING,4.49768877,2649608.0,"10,000,000+",0,Everyone,8-Aug-18
319,Masha and the Bear. Educational Games,GAME,EDUCATIONAL,4.39803791,92446.0,"10,000,000+",0,Everyone,9-Dec-18
320,Carrier Landings,GAME,SIMULATION,4.176088333,126641.0,"1,000,000+",0,Everyone,19-Nov-18
321,KenKen Classic II,GAME,PUZZLE,4.401107311,7948.0,"100,000+",0,Everyone,6-Mar-19
322,WordHero,GAME,WORD,4.453099251,63304.0,"1,000,000+",0,Everyone,31-Mar-19
323,Wordbase � Fun Word Search Battles with Friends,GAME,WORD,3.979807377,14114.0,"500,000+",0,Everyone,19-Mar-18
324,Fruit Nibblers,GAME,PUZZLE,4.574940205,209213.0,"5,000,000+",0,Everyone,17-Aug-18
325,Wheel of Fortune - Quiz,GAME,EDUCATIONAL,4.436855316,57788.0,"1,000,000+",0,Everyone,29-Mar-19
