App Name,Category,Sub Category,Rating,Reviews,Installs,Price,Content Rating,Last Updated
King of Crabs,GAME,ACTION,3.280254841,785.0,"500,000+",0,Everyone 10+,7-Mar-19
Match 3 App Rewards: Daily Game Rewards,GAME,CASUAL,4.520161152,248.0,"10,000+",0,Everyone,20-Feb-19
Brown Dust,GAME,ROLE_PLAYING,4.476287842,70260.0,"1,000,000+",0,Teen,1-Apr-19
Poly - Coloring Puzzle Art Book,GAME,PUZZLE,4.580865383,878.0,"10,000+",0,Everyone,28-Mar-19
Legend of Empress,GAME,ROLE_PLAYING,3.819999933,750.0,"50,000+",0,Teen,30-Mar-19
Manor Diary,GAME,CASUAL,4.550986767,1824.0,"50,000+",0,Everyone,1-Apr-19
Driving Academy 2: Car Games & Driving School 2019,GAME,RACING,4.259150982,1366.0,"100,000+",0,Everyone,22-Feb-19
Hello Tamago,GAME,CASUAL,4.321818352,1100.0,"10,000+",0,Teen,1-Apr-19
Typoman Mobile,GAME,ADVENTURE,3.836396217,3918.0,"100,000+",0,Everyone 10+,28-Mar-19
The Royal Affairs,GAME,ROLE_PLAYING,4.140642643,2645.0,"100,000+",0,Teen,25-Mar-19
Tricky Taps,GAME,ARCADE,4.015625,256.0,"50,000+",0,Everyone,25-Mar-19
Pot Shot,GAME,CASUAL,4.441585064,4896.0,"100,000+",0,Everyone,9-Mar-19
?? Super Boy Adventure&Jungle Adventure,GAME,CASUAL,4.524364948,1457.0,"100,000+",0,Teen,9-Mar-19
Tower Color,GAME,ARCADE,3.440150738,2122.0,"1,000,000+",0,Everyone,27-Mar-19
Criminal Case: The Conspiracy,GAME,ADVENTURE,4.691674709,13369.0,"1,000,000+",0,Teen,5-Feb-19
1010! Color,GAME,PUZZLE,3.940463066,907.0,"500,000+",0,Everyone,27-Mar-19
FRAG Pro Shooter,GAME,ACTION,4.510839939,76662.0,"5,000,000+",0,Teen,21-Mar-19
Jewel Maker,GAME,PUZZLE,4.52055788,1362.0,"50,000+",0,Everyone,1-Apr-19
Ski Tycoon,GAME,SPORTS,4.568738461,531.0,"50,000+",0,Everyone,28-Mar-19
ELCHRONICLE,GAME,ROLE_PLAYING,4.41965723,6186.0,"100,000+",0,Everyone 10+,28-Mar-19
Overkill the Dead: Survival,GAME,ARCADE,4.370070934,5199.0,"500,000+",0,Mature 17+,29-Mar-19
JAWS.io,GAME,CASUAL,4.255244732,1430.0,"100,000+",0,Mature 17+,21-Mar-19
1945 Air Forces,GAME,ARCADE,4.559189796,5778.0,"1,000,000+",0,Everyone,3-Apr-19
Ganster Tycoon,GAME,SIMULATION,4.612341881,632.0,"50,000+",0,Teen,1-Apr-19
Pet Rescue Puzzle Saga,GAME,CASUAL,4.556770325,42892.0,"1,000,000+",0,Everyone,13-Mar-19
Drag n Merge: Block Puzzle,GAME,PUZZLE,4.386383057,10575.0,"1,000,000+",0,Everyone,26-Mar-19
LYN: The Lightbringer,GAME,ROLE_PLAYING,4.216443539,33205.0,"500,000+",0,Teen,2-Apr-19
Jump Tower Ball�Zero,GAME,CASUAL,3.159509182,163.0,"10,000+",0,Everyone,28-Mar-19
AxE: Alliance vs Empire,GAME,ROLE_PLAYING,4.287025928,66123.0,"1,000,000+",0,Teen,22-Mar-19
Super Brawl Universe,GAME,ACTION,3.789777994,6398.0,"500,000+",0,Everyone 10+,25-Mar-19
Dodgeball Duel,GAME,ARCADE,4.097883701,378.0,"50,000+",0,Teen,28-Feb-19
Last Human Life on Earth,GAME,ROLE_PLAYING,4.187171936,1715.0,"100,000+",0,Mature 17+,12-Mar-19
Candy Blast,GAME,CASUAL,4.967391491,644.0,"10,000+",0,Everyone,26-Mar-19
Bud Farm Idle - Kush Farm Growing Weed Tycoon,GAME,SIMULATION,4.734383583,1841.0,"50,000+",0,Mature 17+,27-Mar-19
Cartoon Network Arcade,GAME,ARCADE,4.332247734,307.0,"50,000+",0,Everyone,2-Apr-19
Crowd City,GAME,ARCADE,4.438068867,60995.0,"5,000,000+",0,Everyone,21-Mar-19
Mountain Sniper 3D Shooter,GAME,ACTION,4.065671444,670.0,"100,000+",0,Teen,29-Mar-19
Snow Drift,GAME,SIMULATION,4.689541817,29479.0,"1,000,000+",0,Teen,23-Mar-19
Roller Paint - Splat Puzzle,GAME,PUZZLE,3.421367407,1170.0,"100,000+",0,Everyone,1-Apr-19
Dodgeball.io,GAME,SPORTS,4.067484856,326.0,"50,000+",0,Everyone,26-Mar-19
Pick Me Up�,GAME,ARCADE,3.956089497,10863.0,"1,000,000+",0,Everyone,29-Mar-19
Go Slice,GAME,PUZZLE,4.602141857,1214.0,"100,000+",0,Everyone,12-Mar-19
Football Field Kick,GAME,ACTION,4.5,564.0,"50,000+",0,Everyone,29-Mar-19
Pop Color   Coloring Pages,GAME,CASUAL,4.840240479,1496.0,"100,000+",0,Everyone,1-Apr-19
Aurora Legend,GAME,ROLE_PLAYING,4.329887867,1161.0,"50,000+",0,Teen,27-Mar-19
RAID: Shadow Legends,GAME,ROLE_PLAYING,4.639909267,61740.0,"1,000,000+",0,Teen,21-Mar-19
My Little Pony Pocket Ponies,GAME,CASUAL,4.202301502,2694.0,"1,000,000+",0,Everyone,13-Mar-19
Decurse � A New Magic Farming Game,GAME,CASUAL,4.537362576,6999.0,"500,000+",0,Everyone,11-Mar-19
Rolly Running,GAME,MUSIC,4.076922894,13.0,"10,000+",0,Everyone,20-Mar-19
Alita: Battle Angel - The Game,GAME,ROLE_PLAYING,4.067240238,10232.0,"500,000+",0,Teen,4-Mar-19
Hidden Hotel,GAME,ADVENTURE,4.398123741,36348.0,"1,000,000+",0,Everyone,29-Mar-19
Skylanders� Ring of Heroes,GAME,ROLE_PLAYING,4.410758018,19279.0,"1,000,000+",0,Everyone 10+,28-Mar-19
Wonder Park Magic Rides,GAME,SIMULATION,4.125853539,3075.0,"100,000+",0,Everyone,26-Mar-19
Swing Legend,GAME,ARCADE,1.833333373,24.0,"10,000+",0,Everyone,27-Feb-19
Difference Find Master,GAME,CASUAL,4.176470757,17.0,"10,000+",0,Everyone,18-Mar-19
Archer Fighter: Stickman Fight,GAME,ACTION,4.301369667,438.0,"100,000+",0,Teen,20-Feb-19
Linn: Path of Orchards,GAME,ACTION,3.826388836,144.0,"10,000+",0,Everyone,20-Mar-19
Toddler Learning Games - Little Kids Games,GAME,EDUCATIONAL,4.159613132,827.0,"500,000+",0,Everyone,10-Mar-19
ABC Kids - Tracing & Phonics,GAME,EDUCATIONAL,4.493010998,42281.0,"10,000,000+",0,Everyone,30-Nov-18
Boogie Bot - Learn to code.,GAME,EDUCATIONAL,3.829268217,82.0,"10,000+",0,Everyone,10-Dec-16
Toddlers Magic Flute,GAME,MUSIC,3.666666746,36.0,"10,000+",0,Everyone,7-Jan-19
Learn ABC Letters with Captain Cat,GAME,EDUCATIONAL,4.113303185,13989.0,"1,000,000+",0,Everyone,17-Sep-18
Toddler games for 2-5 year olds,GAME,EDUCATIONAL,4.52663517,9893.0,"1,000,000+",0,Everyone,13-Dec-18
Learn ABC Letters with Captain Cat,GAME,EDUCATIONAL,4.42797184,1430.0,"100,000+",2.99 ,Everyone,17-Sep-18
Kids Educational Game 3 Free,GAME,EDUCATIONAL,4.280282497,27169.0,"5,000,000+",0,Everyone,16-May-18
Bini Super ABC! Preschool Learning Games for Kids!,GAME,EDUCATIONAL,4.577144146,35667.0,"5,000,000+",0,Everyone,24-Jan-19
